Field Name,Order,Null?,Type,Max,Scale,Nbr,Date
GESTATION_WEEKS_BYPASS,216,YES,varch,1,,,
CERTIFIER_COUNTY,223,YES,varch,50,,,
MENSES_DATE_STRING,214,YES,varch,10,,,
RECORD_IS_COMPLETE_DATE,213,YES,datet,,,,3
QUALIFYING_INFO,212,YES,varch,250,,,
ACTION_FLAG_COMMENTS,211,YES,varch,250,,,
RECORD_RIGHT,210,YES,varch,1,,,
COURT_INFO,209,YES,varch,50,,,
PLURALITY_BYPASS,217,YES,varch,1,,,
FAC_COUNTRY_NAME,40,YES,varch,40,,,
BIRTH_ORDER,33,YES,varch,2,,,
FAC_NPI,46,YES,varch,20,,,
FAC_STATE,45,YES,varch,50,,,
FAC_CNTY_FIPS,44,YES,varch,3,,,
FAC_ZIPCODE,43,YES,varch,9,,,
FAC_STATE_NAME_ABBR,48,YES,varch,25,,,
FAC_COUNTY_NAME,41,YES,varch,40,,,
INFANT_DECEASED,49,YES,varch,1,,,
FAC_NUMBER,39,YES,varch,10,,,
FAC_CITY_FIPS,38,YES,varch,5,,,
FAC_TYPE_NAME,37,YES,varch,35,,,
FAC_TYPE_CODE,36,YES,int,,0,10,
FAC_NAME,35,YES,varch,50,,,
FATHER_MAIL_CITY,127,YES,varch,40,,,
FAC_CITY_NAME,42,YES,varch,40,,,
DEATH_AGE_UNITS,56,YES,varch,10,,,
MOTHER_NAME_LAST_P,63,YES,varch,250,,,
FATHER_SSN,130,YES,varch,9,,,
MOTHER_NAME_FIRST_P,61,YES,varch,250,,,
MOTHER_NAME_SUFFIX,60,YES,varch,6,,,
MOTHER_NAME_LAST,59,YES,varch,250,,,
FAC_STATEID,47,YES,int,,0,10,
MOTHER_NAME_FIRST,57,YES,varch,250,,,
PLURALITY,32,YES,varch,2,,,
DEATH_AGE,55,YES,varch,3,,,
DEATH_DATE,54,YES,datet,,,,3
DEATH_STATE,53,YES,varch,25,,,
DEATH_OOS_SFN,52,YES,varch,20,,,
DEATH_STATE_FILE_NUMBER,51,YES,varch,15,,,
DEATH_MATCHED,50,YES,varch,1,,,
MOTHER_NAME_MIDDLE,58,YES,varch,250,,,
LOCAL_REG_NUMBER,8,YES,varch,15,,,
FACID,34,YES,int,,0,10,
RECORD_IS_COMPLETE,14,YES,varch,1,,,
RECORD_STATUS,13,YES,varch,25,,,
REG_TYPE_CODE,12,YES,varch,3,,,
CASE_FILE_NUMBER,11,YES,varch,15,,,
MODIFY_DATE,16,YES,datet,,,,3
USER_LOCATION,9,YES,varch,10,,,
MODIFY_USERID,17,YES,int,,0,10,
STATE_FILE_NUMBER,7,YES,varch,11,,,
LOCAL_FILE_NUMBER,6,YES,varch,15,,,
EVENT_YEAR,5,YES,int,,0,10,
HEARINGBID,4,YES,int,,0,10,
MEDICALID,3,YES,int,,0,10,
BIRTH2ID,2,YES,int,,0,10,
HOS_NUMBER,10,YES,varch,30,,,
NAME_LAST,24,YES,varch,250,,,
SSN_CHILD,31,YES,varch,9,,,
SEX,30,YES,varch,1,,,
TIME_OF_BIRTH,29,YES,varch,4,,,
DATE_OF_BIRTH,28,YES,datet,,,,3
NAME_SUFFIX,27,YES,varch,4,,,
ISACTIVE,15,YES,varch,1,,,
NAME_LAST_SOUNDEX,25,YES,varch,10,,,
MOTHER_NAME_SUFFIX_P,64,YES,varch,6,,,
NAME_MIDDLE_NORMAL_CHAR,23,YES,varch,250,,,
NAME_MIDDLE,22,YES,varch,250,,,
NAME_FIRST_NORMAL_CHAR,21,YES,varch,250,,,
NAME_FIRST,20,YES,varch,250,,,
CREATE_DATE,19,YES,datet,,,,3
MODIFY_USER_NAME,18,YES,varch,51,,,
NAME_LAST_NORMAL_CHAR,26,YES,varch,250,,,
FATHER_RES_STATE,113,YES,varch,25,,,
FATHER_NAME_FIRST,98,YES,varch,250,,,
MOTHER_NAME_MIDDLE_P,62,YES,varch,250,,,
FATHER_NAME_LAST,100,YES,varch,250,,,
FATHER_NAME_SUFFIX,101,YES,varch,4,,,
FATHER_BIRTH_COUNTRY,102,YES,varch,50,,,
FATHER_BIRTH_COUNTRYID,103,YES,int,,0,10,
FATHER_BIRTH_COUNTRY_FIPS,104,YES,varch,2,,,
FATHER_BIRTH_STATEID,105,YES,int,,0,10,
FATHER_BIRTH_STATE,106,YES,varch,25,,,
FATHER_RES_SAME_MOTHER,107,YES,varch,1,,,
FATHER_RES_ADDR1,108,YES,varch,40,,,
FATHER_RES_APT,109,YES,varch,10,,,
FATHER_RES_COUNTRY,110,YES,varch,50,,,
MOTHER_BIRTH_COUNTRY,65,YES,varch,50,,,
FATHER_MAIL_SAME_AS_RES,119,YES,varch,1,,,
FATHER_MAIL_COUNTY,126,YES,varch,50,,,
FATHER_MAIL_STATE,125,YES,varch,25,,,
FATHER_MAIL_STATEID,124,YES,int,,0,10,
FATHER_MAIL_COUNTRYID,123,YES,int,,0,10,
FATHER_MAIL_COUNTRY,122,YES,varch,50,,,
FATHER_RES_COUNTRYID,111,YES,int,,0,10,
FATHER_MAIL_ADDR1,120,YES,varch,40,,,
FATHER_RES_STATEID,112,YES,int,,0,10,
FATHER_RES_INCITY,118,YES,varch,1,,,
FATHER_RES_ZIPCODEID,117,YES,int,,0,10,
FATHER_RES_ZIP,116,YES,varch,9,,,
FATHER_RES_MUN,115,YES,varch,40,,,
FATHER_RES_COUNTY,114,YES,varch,40,,,
MOTHER_PHONE_EXT,97,YES,varch,7,,,
FATHER_MAIL_APT,121,YES,varch,10,,,
MOTHER_RES_COUNTRY,72,YES,varch,50,,,
MOTHER_RES_CITY_FIPS,79,YES,varch,5,,,
FATHER_NAME_MIDDLE,99,YES,varch,250,,,
MOTHER_RES_CNTY_FIPS,77,YES,varch,3,,,
MOTHER_RES_COUNTY,76,YES,varch,40,,,
MOTHER_RES_STATEID,75,YES,int,,0,10,
MOTHER_PHONE,96,YES,varch,10,,,
MOTHER_RES_COUNTRYID,73,YES,int,,0,10,
MOTHER_RES_ZIPCODEID,80,YES,int,,0,10,
MOTHER_RES_APT,71,YES,varch,10,,,
MOTHER_RES_ADDR1,70,YES,varch,40,,,
MOTHER_SSN,69,YES,varch,9,,,
MOTHER_BIRTH_STATE,68,YES,varch,25,,,
MOTHER_BIRTH_STATEID,67,YES,int,,0,10,
MOTHER_BIRTH_COUNTRYID,66,YES,int,,0,10,
MOTHER_RES_STATE,74,YES,varch,25,,,
MOTHER_MAIL_COUNTRYID,89,YES,int,,0,10,
MOTHER_MAIL_ZIPCODEID,95,YES,int,,0,10,
MOTHER_MAIL_ZIP,94,YES,varch,9,,,
MOTHER_MAIL_CITY,93,YES,varch,40,,,
MOTHER_MAIL_STATE,92,YES,varch,25,,,
MOTHER_RES_MUN,78,YES,varch,40,,,
MOTHER_BIRTH_COUNTRY_FIPS,90,YES,varch,2,,,
MOTHER_RES_ZIP,81,YES,varch,9,,,
MOTHER_MAIL_COUNTRY,88,YES,varch,50,,,
MOTHER_MAIL_APT,87,YES,varch,10,,,
MOTHER_MAIL_ADDR2,86,YES,varch,50,,,
MOTHER_MAIL_ADDR1,85,YES,varch,40,,,
MOTHER_MAIL_SAME_AS_RES,84,YES,varch,1,,,
MOTHER_RES_INCITY,83,YES,varch,1,,,
MOTHER_RES_NCHS_GEO,82,YES,varch,5,,,
MOTHER_MAIL_STATEID,91,YES,int,,0,10,
