Field Name,Order,Null?,Type,Max,Scale,Nbr,Date
UNLIKE_FLAG,217,YES,varch,1,,,
UNLIKEDATE,218,YES,datet,,,,3
FD_USER_ID,31,YES,varch,10,,,
MODIFY_DATE,208,YES,datet,,,,3
DELAYED_INFO_2,186,YES,varch,80,,,
ELECTION_READY_FLAG,175,YES,varch,1,,,
TRANSAX_IMPORTED_YN,174,YES,varch,1,,,
ELECTION_READY_DATE,176,YES,datet,,,,3
STATE_SENT_DATE,178,YES,datet,,,,3
INTJ_SENT,179,YES,varch,1,,,
INTJ_SENT_DATE,180,YES,datet,,,,3
MCRF_SENT,181,YES,varch,1,,,
MCRF_SENT_DATE,182,YES,datet,,,,3
GEO_SENT,183,YES,varch,1,,,
RESEND_DATE,198,YES,datet,,,,3
DELAYED_INFO_1,185,YES,varch,80,,,
RESEND_YN,197,YES,varch,1,,,
NOTES,187,YES,varch,250,,,
SENT_SUPER,188,YES,varch,1,,,
DATE_SENT_SUPER,189,YES,datet,,,,3
PLACETYPE_MICAR,190,YES,varch,1,,,
SUPERMICAR_FLAG,191,YES,varch,1,,,
SUPERMICAR_RESEND,192,YES,varch,1,,,
SUPERMICAR_RESEND_DATE,193,YES,datet,,,,3
SUPERMICAR_SENT,194,YES,varch,1,,,
SUPERMICAR_SENT_DATE,195,YES,datet,,,,3
ACME_UNDERLYING_CODE,172,YES,varch,5,,,
GEO_SENT_DATE,184,YES,datet,,,,3
TRADE_STATE,68,YES,varch,50,,,
UC_QUERY,78,YES,varch,1,,,
PHY_LOCATION,58,YES,varch,100,,,
PHY_LOC_CODE,59,YES,varch,8,,,
PHY_COUNTY,60,YES,varch,30,,,
TYPE_CERTIFIER,61,YES,varch,20,,,
DEATHNIC5C,62,YES,varch,3,,,
TRADE_CALL,63,YES,varch,200,,,
TRADE_CALL_ID,64,YES,varch,10,,,
TRADE_CALL_TRADE_NAME,65,YES,varch,200,,,
REGISTRAR_ID,54,YES,varch,5,,,
TRADE_CITY,67,YES,varch,50,,,
REGISTRAR_NAME,53,YES,varch,50,,,
TRADE_ZIP,69,YES,varch,10,,,
TRADE_LICENSE,70,YES,varch,20,,,
TRADE_PHONE,71,YES,varch,14,,,
TRADE_YN,72,YES,varch,1,,,
RESID_COUNTYC_NV,73,YES,varch,4,,,
RESID_TWO_CNTYC_NV,74,YES,varch,2,,,
RESID_CITYC_NV,75,YES,varch,3,,,
RESID_STC_NV,76,YES,varch,2,,,
CERT_TYPE_CODE,77,YES,varch,1,,,
TRADE_ADDRESS,66,YES,varch,50,,,
DR_COMPL_USER,43,YES,varch,51,,,
FAC_COUNTYC_NV,34,YES,varch,4,,,
STATE_SENT,177,YES,varch,1,,,
ACME2,125,YES,varch,8,,,
FAC_TWO_CNTYC_NV,35,YES,varch,2,,,
FAC_CITYC_NV,36,YES,varch,3,,,
FAC_COMPLETE,37,YES,varch,1,,,
FAC_COMPL_DATE,38,YES,datet,,,,3
FAC_COMPL_USER,39,YES,varch,51,,,
FAC_TRADE_NAME,40,YES,varch,200,,,
PHY_ASSIGN,56,YES,varch,50,,,
DR_COMPL_DATE,42,YES,datet,,,,3
PHY_FILTER_LOC,57,YES,varch,3,,,
COR_COMPLETE,44,YES,varch,1,,,
COR_COMPL_DATE,45,YES,datet,,,,3
COR_COMPL_USER,46,YES,varch,51,,,
CNTY_COMPLETE,47,YES,varch,1,,,
CNTY_COMPL_DATE,48,YES,datet,,,,3
CNTY_COMPL_USER,49,YES,varch,51,,,
ST_COMPLETE,50,YES,varch,1,,,
ST_COMPL_DATE,51,YES,datet,,,,3
ST_COMPL_USER,52,YES,varch,51,,,
DR_COMPLETE,41,YES,varch,1,,,
SMICAR_AXIS_13,116,YES,varch,8,,,
SMICAR_RECEIPT_DATE,102,YES,datet,,,,3
SMICAR_ICD10,103,YES,varch,5,,,
SMICAR_AXIS_1,104,YES,varch,8,,,
SMICAR_AXIS_2,105,YES,varch,8,,,
SMICAR_AXIS_3,106,YES,varch,8,,,
SMICAR_AXIS_4,107,YES,varch,8,,,
SMICAR_AXIS_5,108,YES,varch,8,,,
SMICAR_AXIS_6,109,YES,varch,8,,,
SMICAR_AXIS_8,111,YES,varch,8,,,
SMICAR_AXIS_10,113,YES,varch,8,,,
SMICAR_SHIPMENT_NUMBER,101,YES,varch,3,,,
SMICAR_AXIS_12,115,YES,varch,8,,,
SMICAR_AXIS_7,110,YES,varch,8,,,
SMICAR_AXIS_14,117,YES,varch,8,,,
SMICAR_AXIS_15,118,YES,varch,8,,,
SMICAR_AXIS_16,119,YES,varch,8,,,
SMICAR_AXIS_17,120,YES,varch,8,,,
SMICAR_AXIS_18,121,YES,varch,8,,,
ARMY_YESNO,79,YES,varch,1,,,
REGISTRAR_SIGN,55,YES,int,,0,10,
SMICAR_AXIS_19,122,YES,varch,8,,,
SMICAR_AXIS_20,123,YES,varch,8,,,
ACME1,124,YES,varch,8,,,
SMICAR_AXIS_11,114,YES,varch,8,,,
RACE5E,88,YES,varch,3,,,
ARMED_FORCES_BEG,80,YES,datet,,,,3
ARMED_FORCES_END,81,YES,datet,,,,3
SMICAR_AXIS_9,112,YES,varch,8,,,
ARMEDF_END_STRING,83,YES,varch,10,,,
RACE1E,84,YES,varch,3,,,
RACE2E,85,YES,varch,3,,,
RACE4E,87,YES,varch,3,,,
ARMEDF_BEG_STRING,82,YES,varch,10,,,
RACE6E,89,YES,varch,3,,,
RACE7E,90,YES,varch,3,,,
RACE8E,91,YES,varch,3,,,
RACE23C,99,YES,varch,3,,,
RACE16C,92,YES,varch,3,,,
RACE17C,93,YES,varch,3,,,
RACE18C,94,YES,varch,3,,,
RACE19C,95,YES,varch,3,,,
RACE20C,96,YES,varch,3,,,
RACE21C,97,YES,varch,3,,,
RACE22C,98,YES,varch,3,,,
RACE3E,86,YES,varch,3,,,
RACEBRG,100,YES,varch,2,,,
